date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:11	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
22:30:12	31705/31705	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:53%20GMT	https://preview.colorlib.com/theme/negotiate/	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/index.html	(from )
22:30:13	737/737	---M-Z	200	added ('OK')	text/css	etag:%222e1-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/open-iconic-bootstrap.min.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/open-iconic-bootstrap.min.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:13	54127/54127	---M-Z	200	added ('OK')	text/css	etag:%22d36f-5c1f9dd8f0210-gzip%22	https://preview.colorlib.com/theme/negotiate/css/animate.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/animate.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:13	3336/3336	---M-Z	200	added ('OK')	text/css	etag:%22d08-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/owl.carousel.min.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:14	89/89	---M-Z	200	added ('OK')	text/css	etag:%2259-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/owl.theme.default.min.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:15	4212/4212	---M-Z	200	added ('OK')	text/css	etag:%221074-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/magnific-popup.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/magnific-popup.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:16	6386/6386	---M-Z	200	added ('OK')	text/css	etag:%2218f2-5c1f9dd8f0210-gzip%22	https://preview.colorlib.com/theme/negotiate/css/aos.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/aos.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:16	2235/2235	---M-Z	200	added ('OK')	text/css	etag:%228bb-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/ionicons.min.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/ionicons.min.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:16	1466/1466	---M-Z	200	added ('OK')	text/css	etag:%225ba-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/flaticon.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/flaticon.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:18	1558/1558	---M-Z	200	added ('OK')	text/css	etag:%22616-5c1f9dd8f11b0-gzip%22	https://preview.colorlib.com/theme/negotiate/css/icomoon.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/icomoon.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:19	87156/87156	---M-Z	200	added ('OK')	text/css	etag:%2215474-5c1f9dd8f2150-gzip%22	https://preview.colorlib.com/theme/negotiate/css/style.css	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/css/style.css	(from https://preview.colorlib.com/theme/negotiate/)
22:30:19	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Tue,%2005%20Sep%202023%2017:00:17%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/Users/allan/Downloads/freelance/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/negotiate/)
22:30:20	31705/31705	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:53%20GMT	https://preview.colorlib.com/theme/negotiate/index.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/index-2.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:20	19197/19197	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:48%20GMT	https://preview.colorlib.com/theme/negotiate/about.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/about.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:20	24811/24811	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:58%20GMT	https://preview.colorlib.com/theme/negotiate/team.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/team.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:21	15883/15883	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:56%20GMT	https://preview.colorlib.com/theme/negotiate/project.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/project.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:22	17908/17908	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:57%20GMT	https://preview.colorlib.com/theme/negotiate/services.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/services.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:23	17202/17202	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:50%20GMT	https://preview.colorlib.com/theme/negotiate/blog.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/blog.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:25	13474/13474	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:19:52%20GMT	https://preview.colorlib.com/theme/negotiate/contact.html	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/contact.html	(from https://preview.colorlib.com/theme/negotiate/)
22:30:27	303444/303444	---M--	200	added ('OK')	image/jpeg	etag:%224a154-59ac2a26defc0%22	https://preview.colorlib.com/theme/negotiate/images/bg_1.jpg	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/images/bg_1.jpg	(from https://preview.colorlib.com/theme/negotiate/)
22:30:28	241674/241674	---M--	200	added ('OK')	image/jpeg	etag:%223b00a-59ac2a28c7440%22	https://preview.colorlib.com/theme/negotiate/images/bg_3.jpg	C:/Users/allan/Downloads/freelance/preview.colorlib.com/theme/negotiate/images/bg_3.jpg	(from https://preview.colorlib.com/theme/negotiate/)
